10031506,TAPIAL DE PROTECCION C/ CUBIERTA TABLARO,19.71,M2,117.93,127
10031507,SYCOL. DE PLASTICO CAL. 600 PARA,100,M2,11.07,127
10031520,DEMOLICION DE SARDINEL DE CONCRETO REFOR,3.23,MTO,24.17,127
10031524,DEMOLICION DE MATERIAL CERAMICO EN PISO,6,M2,48.05,127
10031532,DEMOLICION MURO BLOCK RELLENO 15X20X40,34.65,M2,119.97,127
10031545,DEMOLICION DE CIELO FALSO DE TABLAROCA,6.8,M2,46.58,127
10031546,DESMONTAJE DE PLAFON EN PLACAS SIN RECUP,8.4,M2,37.24,127
10031549,DESINSTALACION CANCELER. ALUM. S/RECUPER,4.75,M2,55.66,127
10031551,DESINSTALACION PUERTAS DE ALUMINIO S/REC,5,UND,296.14,127
10031554,DESINSTALACION PUERTAS DE MADERA S/RECU,1,UND,155.39,127
10031559,DESINSTALACION DE SALIDA PARA CONTACTO,7,UND,61.73,127
10031560,DESINSTALACION DE SALIDA PARA ILUMINACIO,15,UND,65.18,127
10031563,DESINSTALACION DE LUMINARIA FLUORESCENTE,18,UND,124.54,127
10031569,DESINSTALACION DE DUCTOS DE AIRE ACONDIC,13.3,MTO,51.94,127
10031586,RETIRO DE SEÑALIZACION EXISTENTE EN MODU,5,UND,156.9,127
10031596,DESINST DE TERMOSTATO C/RECUPERACION,2,UND,56.16,127
10031610,DESMONTAJE DE PLAFON EN PLACAS CON RECUP,11.3,M2,41.5,127
10031611,DESCONECCION DE CAJERO AUTOMATICO,3,UND,638.73,127
10031612,DESANCLAJE DE CAJ. POR METODO TRADICIONA,3,UND,662.18,127
10031614,MOVIMIENTO HORIZONTAL DE CAJERO AUTO,3,UND,483.09,127
10031616,DESINST. DE M. METALICO A BASE T. RED.,3,UND,830.85,127
10031619,DESINSTALACION DE FLECHA O MARQUESINA,2,UND,447.22,127
10031655,SYC EMPASTADO  P/PISO,25,M2,119,127
10031657,SYC DALA DE DESPLANTE 15X20cm,18.54,MTO,343.58,127
10031658,SYC CASTILLO 15x15cm DE CONCRETO,36.38,MTO,323.02,127
10031660,ANCLAJE DE CASTILLO ARMADO CON 4vs. No 3,15,UND,128.95,127
10031665,SYC MURO DE BLOCK RELLENO15X20X40,31.85,M2,351.65,127
10031680,CONST DE ESCALONES EXTERIORES DE CONCRET,7.4,MTO,342.33,127
10031701,RANURADO EN FIRME DE CONCRETO 5x10cms.,5,MTO,18,127
10031708,SYC MURO TABLAROCA 2 CARAS C/ESTRU,26.2,M2,925.1,127
10031709,SYC CIELO FALSO DE PANEL DE TABLAR,26,M2,228.79,127
10031710,FALDON PECHERA CAJILLO 30 A 50cm DESAR,4,MTO,219,127
10031711,FALDON PECHERA CAJILLO 51 A 80cm DESAR,3,MTO,262,127
10031742,ZOCLO CERAMICO INTERCERAMIC 10X40cm,21.5,MTO,106,127
10031743,SYC  ZOCLO ALUMINIO LAMINADO DE  10 CM,7.7,MTO,236,127
10031819,"SYC CANCEL DE ALUMINIO 3"" CUPRUM",6.84,M2,1001.84,127
10031836,SYC DE CANCEL TEMPLADO DE 9mm.,12.97,M2,2440,127
10031838,SYC PELICULA SEGUR SECURE BL22,33.04,M2,1590,127
10031842,SYC DE TOPE DE PISO MEDIA LUNA,3,UND,95.3,127
10031860,"SUM E INST REJA METALICA DE VARILLA 1/2""",528.32,KG,35.5,127
10031884,SUM E INST DE SALIDA DE CIELO O MURO ILU,14,SAL,805,127
10031885,SUM E INST DE SALIDA DE CONTACTO NORMAL,2,SAL,1186,127
10031886,SUM E INST DE SALIDA DE CONTACTO REGULAD,7,SAL,1234,127
10031889,SUM E INST DE SALIDA ELECTRICA P/CLIMA,1,SAL,5100,127
10031900,INSTALACION DE LUMINARIA DE RECUPERACION,4,UND,350,127
10031902,SYC LUM  EMPOT.0.61X1.22  PHILLIPS2TG823,2,UND,1779,127
10031906,SYC REFLECTOR M- CONSTRULITA MOD. CO1021,10,UND,1350,127
10031912,SUM E INST DE SALIDA TELEFONICA Y/O DATO,12,SAL,1150,127
10031970,DESINST. DE VENTANA BLINDADA (VOO) Y ROT,1,UND,1469,127
10031980,COLOC. DE PUERTA DE SEGURIDAD TIPO POO S,1,UND,1809,127
10031986,SUM. E INST. DE SALIDA DE SEGURIDAD INC,27,SAL,825,127
10032030,COLOC. DE CALCAMONIAS EN FACIAS Y CRISTA,10,UND,54.4,127
10032032,MOVIMIENTO Y REACOMODO DE MOBILIARIO SEG,7,JOR,893,127
10032036,IDENTIFICACION DE TUBERIAS CON PINTURA A,1,LE,1115,127
10032037,LIMPIEZA FINA DE OBRA DURANTE Y AL TERMI,7,JOR,893,127
10032041,FIJACION DE KIOSKO BANORTEL SUM/ BANORTE,1,UND,415,127
10032043,INSTALACION DE PANTALLA TV TIPO PLASMA,2,UND,720,127
