10031506,TAPIAL DE PROTECCION C/ CUBIERTA TABLARO,28,M2,117.93,590
10031507,SYCOL. DE PLASTICO CAL. 600 PARA,100,M2,11.07,590
10031512,REUBICACION DE TAPIAL DE PROTECCION,14,M2,102.99,590
10031514,TAPIAL DE PROT. C/ CUBIERTA TRIPLAY PARA,30.25,M2,145.52,590
10031515,TRAZO Y NIVELACION DE TERRENO CON E. MAN,140.9,M2,7.69,590
10031522,DEMOLICION FIRME DE CONCRETO 12cm PROMED,28.6,M2,120.9,590
10031524,DEMOLICION DE MATERIAL CERAMICO EN PISO,13.05,M2,48.05,590
10031533,DEMOLICION MURO DE BLOCK HUECO 15X20X40,21,M2,79.73,590
10031537,DEMOLICION DE MURO DE TABLAROCA DE 10cms,132.85,M2,46.62,590
10031542,DEMOLICION DE ZOCLO CERAMICO MARMOL O G,7,MTO,24.31,590
10031545,DEMOLICION DE CIELO FALSO DE TABLAROCA,46.2,M2,46.58,590
10031546,DESMONTAJE DE PLAFON EN PLACAS SIN RECUP,57.6,M2,37.24,590
10031549,DESINSTALACION CANCELER. ALUM. S/RECUPER,30.35,M2,55.66,590
10031551,DESINSTALACION PUERTAS DE ALUMINIO S/REC,4,UND,296.14,590
10031554,DESINSTALACION PUERTAS DE MADERA S/RECU,1,UND,155.39,590
10031557,DESINST. DE SALIDA P/TELEFONO INCLUYE:,3,UND,61.73,590
10031559,DESINSTALACION DE SALIDA PARA CONTACTO,9,UND,61.73,590
10031560,DESINSTALACION DE SALIDA PARA ILUMINACIO,18,UND,65.18,590
10031562,DESINSTALACION DE LUMINARIA INCANDESCENT,11,UND,62.29,590
10031563,DESINSTALACION DE LUMINARIA FLUORESCENTE,7,UND,124.54,590
10031569,DESINSTALACION DE DUCTOS DE AIRE ACONDIC,25,MTO,51.94,590
10031570,DESINSTALACION DE REJILLAS Y DIFUSORES C,4,UND,73.84,590
10031584,DESMONTAJE DE EXTINTORES CON RECUPERACIO,1,UND,115.32,590
10031586,RETIRO DE SEÑALIZACION EXISTENTE EN MODU,6,UND,156.9,590
10031587,RETIRO DE SEÑALIZACION EN PUERTAS DE ACC,1,LE,153.52,590
10031588,RETIRO DE ANUNCIO DE SEÑALIZACION DETRAS,6,UND,189.47,590
10031596,DESINST DE TERMOSTATO C/RECUPERACION,1,UND,56.16,590
10031603,DESINSTALACION DE T.V. TIPO PLASMA,1,UND,620.15,590
10031605,DESINSTALACIÓN DE ANUNCIO ATM EN FACHADA,1,UND,450,590
10031611,DESCONECCION DE CAJERO AUTOMATICO,2,UND,638.73,590
10031612,DESANCLAJE DE CAJ. POR METODO TRADICIONA,2,UND,662.18,590
10031614,MOVIMIENTO HORIZONTAL DE CAJERO AUTO,2,UND,483.09,590
10031615,DESINST. DE M. DE ACCESO CON RECUPERAC.,1,UND,1361.89,590
10031616,DESINST. DE M. METALICO A BASE T. RED.,2,UND,830.85,590
10031620,RANURADO DE FIRME DE CONC. SECC.05X10CMS,13.5,MTO,98.65,590
10031657,SYC DALA DE DESPLANTE 15X20cm,5.45,MTO,343.58,590
10031658,SYC CASTILLO 15x15cm DE CONCRETO,43.6,MTO,323.02,590
10031660,ANCLAJE DE CASTILLO ARMADO CON 4vs. No 3,11,UND,128.95,590
10031662,SYCOL. CASTILLO 15x20cm C/ARMEX,31.35,MTO,347.97,590
10031665,SYC MURO DE BLOCK RELLENO15X20X40,32.7,M2,351.65,590
10031673,SYCOC DE ZARPEO Y AFINE MUROS 0-4m,5.45,M2,137.99,590
10031705,SYCOC DE MURO DE TABLAROCA UNA CAR,4,M2,212.22,590
10031707,SYCOC MURO DE TABLAROCA DOS CARAS,8.2,M2,306.97,590
10031708,SYC MURO TABLAROCA 2 CARAS C/ESTRU,107,M2,925.1,590
10031709,SYC CIELO FALSO DE PANEL DE TABLAR,44.55,M2,228.79,590
10031710,FALDON PECHERA CAJILLO 30 A 50cm DESAR,8.5,MTO,219,590
10031711,FALDON PECHERA CAJILLO 51 A 80cm DESAR,7.55,MTO,262,590
10031712,FALDON PECHERA CAJILLO 81 A 120cm DESA,4.85,MTO,341,590
10031779,SYC MUEBLE IPADS 2.38X1.00 MADERA PINO,1,UND,9695.38,590
10031781,SYC DE MUEBLE DETRÁS DE CAJAS,1,UND,12540,590
10031784,COL. MINI MAMPARA TIPO KSUM BANORTE,3,UND,2250,590
10031808,SYC REPISA P/AREA DOTACION 0.35X0.15,1,UND,760,590
10031819,"SYC CANCEL DE ALUMINIO 3"" CUPRUM",17.2,M2,1001.84,590
10031821,SYC DE COSTILLAS DE CRISTAL 9mm,7.2,MTO,268.92,590
10031836,SYC DE CANCEL TEMPLADO DE 9mm.,6.1,M2,2440,590
10031838,SYC PELICULA SEGUR SECURE BL22,37.85,M2,1590,590
10031842,SYC DE TOPE DE PISO MEDIA LUNA,4,UND,95.3,590
10031848,      COL DE PELICULA DE ESMERILA 0.15,8.8,MTO,113.54,590
10031860,"SUM E INST REJA METALICA DE VARILLA 1/2""",61.9,KG,35.5,590
10031861,SUM. FABRIC. Y COLOC. SOPORTE P/PANTALLA,1,UND,778,590
10031884,SUM E INST DE SALIDA DE CIELO O MURO ILU,32,SAL,805,590
10031885,SUM E INST DE SALIDA DE CONTACTO NORMAL,3,SAL,1186,590
10031886,SUM E INST DE SALIDA DE CONTACTO REGULAD,23,SAL,1234,590
10031887,SUM E INST DE SALIDA P/LETRERO LUMINOSO,1,SAL,1370,590
10031889,SUM E INST DE SALIDA ELECTRICA P/CLIMA,1,SAL,5100,590
10031892,SUM. E INST. DE SALIDA PARA FAN AND COIL,1,SAL,2500,590
10031895,SYCOL. DE LUMINARIA SPOT CO1054B,1,UND,895.36,590
10031896,SUM. E INST. DE LUMINARIA DE EMERGENCIA,2,UND,1232.01,590
10031899,REUBICACION DE LUMINARIA  A CUALQUIER AL,2,UND,450,590
10031900,INSTALACION DE LUMINARIA DE RECUPERACION,2,UND,350,590
10031905,SYC REFLECTOR T-DIR CONSTRULITA RE1085BB,5,UND,735,590
10031906,SYC REFLECTOR M- CONSTRULITA MOD. CO1021,14,UND,1350,590
10031912,SUM E INST DE SALIDA TELEFONICA Y/O DATO,17,SAL,1150,590
10031916,S. HAB  FABR Y MONTAJE DUCTOS LAM CAL 24,135,KG,54,590
10031917,"SYC AISLAMIENTO EXTERIOR 1"" P/DUCTO",221,FT2,14.3,590
10031920,"SUM E INST DE DUCTO FLEXIBLE 12"" VERMONT",2,MTO,177.85,590
10031930,"DIFUSOR DE RETORNO 24""X24"" ADAPTADOR 12""",2,UND,733.93,590
10031934,"SYCOL. DE DIFUSOR 4v. 9""x 9"" SIN",2,UND,648.39,590
10031946,BALANCEO DEL SISTEMA DE AIRE ACONDICIONA,1,LE,2061.01,590
10031955,SUJECION DE REJILLAS DE RETORNO E INYECC,1,LE,1203,590
10031956,S. FABRIC Y COL CHAROLA DE LAMINA P/COND,1,UND,844,590
10031961,"SYC REJILLA  DE RETORNO 16""X14""",1,UND,469.08,590
10031968,DESINST. DE PUERTA BLINDADA (POO PVT) C,1,UND,1534,590
10031980,COLOC. DE PUERTA DE SEGURIDAD TIPO POO S,2,UND,1809,590
10031984,COLOC. DE CAJA FUERTE CHICA ROTARY SUMIN,1,UND,688,590
10031985,COLOC. DE VENTANA BLINDADA Y ROTOTRANSFE,1,UND,1657,590
10031986,SUM. E INST. DE SALIDA DE SEGURIDAD INC,30,SAL,825,590
10031990,SUM Y COLOLOC. DE  GUARDAPOLVO P/PUERTA,2,UND,226,590
10032023,COLOCACION DE SEÑALIZACION SUM/BANORTE,25,UND,106.67,590
10032031,COLOCACION DE CALCAMONIAS DE SEGURIDAD S,15,UND,54.4,590
10032032,MOVIMIENTO Y REACOMODO DE MOBILIARIO SEG,3,JOR,893,590
10032033,COLOCACION DE EXTINGUIDORES EN MURO INC,2,UND,106.64,590
10032036,IDENTIFICACION DE TUBERIAS CON PINTURA A,1,LE,1115,590
10032037,LIMPIEZA FINA DE OBRA DURANTE Y AL TERMI,3,JOR,893,590
10032043,INSTALACION DE PANTALLA TV TIPO PLASMA,1,UND,720,590
10032051,COLOCACION DE TERMOSTATO SUM. P/BANORTE,1,UND,377,590
10032052,SYCOL. DE GUARDA TERMOSTATO DE AC,2,UND,448,590
